20
Alpha | Phero | Elite | Gen   | Length
    0 |     0 |     0   | 1 |       28
    0 |     0 |     0   | 2 |       27
    0 |     0 |     0   | 3 |       38
    0 |     0 |     0   | 4 |       22
    0 |     0 |     0   | 5 |       24
    0 |     0 |     0   | 6 |       22
    0 |     0 |     0   | 7 |       35
    0 |     0 |     0   | 8 |       19
    0 |     0 |     0   | 9 |       18
    0 |     0 |     1   | 1 |       22
    0 |     0 |     1   | 2 |       27
    0 |     0 |     1   | 3 |       33
    0 |     0 |     1   | 4 |       29
    0 |     0 |     1   | 5 |       20
    0 |     0 |     1   | 6 |       19
    0 |     0 |     1   | 7 |       36
    0 |     0 |     1   | 8 |       22
    0 |     0 |     1   | 9 |       29
    0 |     0 |     2   | 1 |       37
    0 |     0 |     2   | 2 |       20
    0 |     0 |     2   | 3 |       26
    0 |     0 |     2   | 4 |       19
    0 |     0 |     2   | 5 |       20
    0 |     0 |     2   | 6 |       15
    0 |     0 |     2   | 7 |       36
    0 |     0 |     2   | 8 |       26
    0 |     0 |     2   | 9 |       34
    0 |     0 |     3   | 1 |       27
    0 |     0 |     3   | 2 |       34
    0 |     0 |     3   | 3 |       17
    0 |     0 |     3   | 4 |       18
    0 |     0 |     3   | 5 |       34
    0 |     0 |     3   | 6 |       27
    0 |     0 |     3   | 7 |       23
    0 |     0 |     3   | 8 |       28
    0 |     0 |     3   | 9 |       33
    0 |     0 |     4   | 1 |       35
    0 |     0 |     4   | 2 |       30
    0 |     0 |     4   | 3 |       22
    0 |     0 |     4   | 4 |       32
    0 |     0 |     4   | 5 |       42
    0 |     0 |     4   | 6 |       33
    0 |     0 |     4   | 7 |       21
    0 |     0 |     4   | 8 |       31
    0 |     0 |     4   | 9 |       25
    0 |   0.5 |     0   | 1 |       22
    0 |   0.5 |     0   | 2 |       24
    0 |   0.5 |     0   | 3 |       26
    0 |   0.5 |     0   | 4 |       31
    0 |   0.5 |     0   | 5 |       13
    0 |   0.5 |     0   | 6 |       26
    0 |   0.5 |     0   | 7 |       21
    0 |   0.5 |     0   | 8 |       20
    0 |   0.5 |     0   | 9 |       20
    0 |   0.5 |     1   | 1 |       23
    0 |   0.5 |     1   | 2 |       24
    0 |   0.5 |     1   | 3 |       22
    0 |   0.5 |     1   | 4 |       23
    0 |   0.5 |     1   | 5 |       18
    0 |   0.5 |     1   | 6 |       18
    0 |   0.5 |     1   | 7 |       27
    0 |   0.5 |     1   | 8 |       15
    0 |   0.5 |     1   | 9 |       30
    0 |   0.5 |     2   | 1 |       21
    0 |   0.5 |     2   | 2 |       18
    0 |   0.5 |     2   | 3 |       21
    0 |   0.5 |     2   | 4 |       17
    0 |   0.5 |     2   | 5 |       21
    0 |   0.5 |     2   | 6 |       34
    0 |   0.5 |     2   | 7 |       28
    0 |   0.5 |     2   | 8 |       19
    0 |   0.5 |     2   | 9 |       14
    0 |   0.5 |     3   | 1 |       38
    0 |   0.5 |     3   | 2 |       14
    0 |   0.5 |     3   | 3 |       24
    0 |   0.5 |     3   | 4 |       32
    0 |   0.5 |     3   | 5 |       19
    0 |   0.5 |     3   | 6 |       26
    0 |   0.5 |     3   | 7 |       34
